scientificName,vernacularName,taxonId,redListCategory,assessmentYear,speciesGroup,assessmentArea
×Ammocalamagrostis baltica,østersjørør,153890,EN,2021,Karplanter,Norge
×Arctodupontia scleroclada,kongsfjordgras,153891,EN,2021,Karplanter,Svalbard
×Pucciphippsia vacillans,svalbardgras,153896,VU,2021,Karplanter,Svalbard
Abacoproeces saltuum,klippeedderkopp,2644,LC,2021,Edderkoppdyr,Norge
Abax parallelepipedus,,5565,LC,2021,Biller,Norge
Abdera affinis,,9460,LC,2021,Biller,Norge
Abdera flexuosa,,9462,LC,2021,Biller,Norge
Abia aenea,,111724,LC,2021,Vepser,Norge
Abia candens,,111726,VU,2021,Vepser,Norge
Abia fasciata,,111727,LC,2021,Vepser,Norge
Abia lonicerae,,111728,NE,2021,Vepser,Norge
Abia sericea,,111731,VU,2021,Vepser,Norge
Abies alba,edelgran,103793,LC,2021,Karplanter,Norge
Abies amabilis,stillehavsedelgran,145490,NA,2021,Karplanter,Norge
Abies balsamea,balsamedelgran,103794,NA,2021,Karplanter,Norge
Abies cephalonica,gresk edelgran,145491,NA,2021,Karplanter,Norge
Abies concolor,koloradoedelgran,103795,NA,2021,Karplanter,Norge
Abies firma,momiedelgran,145492,NA,2021,Karplanter,Norge
Abies grandis,kjempeedelgran,103796,NA,2021,Karplanter,Norge
Abies homolepis,nikkoedelgran,145493,NA,2021,Karplanter,Norge
Abies koreana,koreaedelgran,128698,NA,2021,Karplanter,Norge
Abies lasiocarpa,fjelledelgran,103797,NA,2021,Karplanter,Norge
Abies magnifica,praktedelgran,145494,NA,2021,Karplanter,Norge
Abies mariesii,mariesedelgran,127895,NA,2021,Karplanter,Norge
Abies nordmanniana,nordmannsedelgran,103798,NA,2021,Karplanter,Norge
Abies procera,nobelgran,103799,NA,2021,Karplanter,Norge
Abies sachalinensis,sakhalinedelgran,145495,NA,2021,Karplanter,Norge
Abies sibirica,sibiredelgran,103800,NA,2021,Karplanter,Norge
Abies veitchii,veitchedelgran,145496,NA,2021,Karplanter,Norge
Abietinella abietina,granmose,104789,LC,2021,Moser,Norge
Abiskoa abiskoensis,huldremattevever,2646,LC,2021,Edderkoppdyr,Norge
Abiskomyia paravirgo,,17269,NE,2021,Tovinger,Norge
Abiskomyia virgo,,17270,NE,2021,Tovinger,Norge
Ablabesmyia (Ablabesmyia) longistyla,,17796,NE,2021,Tovinger,Norge
Ablabesmyia (Ablabesmyia) monilis,,17797,NE,2021,Tovinger,Norge
Ablabesmyia (Ablabesmyia) phatta,,17798,NE,2021,Tovinger,Norge
Abludomelita obtusata,,2116,LC,2021,Krepsdyr,Norge
Abortiporus biennis,klumpkjuke,56931,NT,2021,Sopper,Norge
Abra alba,,108344,LC,2021,Bløtdyr,Norge
Abra longicallus,,108345,LC,2021,Bløtdyr,Norge
Abra nitida,,108346,LC,2021,Bløtdyr,Norge
Abra prismatica,,108347,LC,2021,Bløtdyr,Norge
Abraeus parvulus,,10775,EN,2021,Biller,Norge
Abramis brama,brasme,42613,LC,2021,Fisker,Norge
Abraxas grossulariata,stikkelsbærpraktmåler,47044,LC,2021,Sommerfugler,Norge
Abraxas sylvata,almepraktmåler,47045,VU,2021,Sommerfugler,Norge
Abrostola tripartita,grått neslefly,47309,LC,2021,Sommerfugler,Norge
